site_id,x,y
458,22.25,-29.75002714
459,22.75,-29.75002714
462,24.25,-29.75002714
463,24.75,-29.75002714
465,25.75,-29.75002714
466,26.25,-29.75002714
472,29.25,-29.75002714
473,29.75,-29.75002714
474,30.25,-29.75002714
475,30.75,-29.75002714
476,31.25,-29.75002714
484,16.75,-29.25002888
486,17.75,-29.25002888
487,18.25,-29.25002888
489,19.25,-29.25002888
494,21.75,-29.25002888
497,23.25,-29.25002888
498,23.75,-29.25002888
499,24.25,-29.25002888
500,24.75,-29.25002888
503,26.25,-29.25002888
505,27.25,-29.25002888
509,29.25,-29.25002888
510,29.75,-29.25002888
511,30.25,-29.25002888
512,30.75,-29.25002888
513,31.25,-29.25002888
514,31.75,-29.25002888
521,16.75,-28.75003051
522,17.25,-28.75003051
523,17.75,-28.75003051
527,19.75,-28.75003051
528,20.25,-28.75003051
529,20.75,-28.75003051
530,21.25,-28.75003051
531,21.75,-28.75003051
532,22.25,-28.75003051
533,22.75,-28.75003051
534,23.25,-28.75003051
535,23.75,-28.75003051
537,24.75,-28.75003051
538,25.25,-28.75003051
540,26.25,-28.75003051
542,27.25,-28.75003051
544,28.25,-28.75003051
545,28.75,-28.75003051
546,29.25,-28.75003051
547,29.75,-28.75003051
548,30.25,-28.75003051
549,30.75,-28.75003051
550,31.25,-28.75003051
551,31.75,-28.75003051
552,32.25,-28.75003051
558,16.75,-28.25003202
559,17.25,-28.25003202
565,20.25,-28.25003202
566,20.75,-28.25003202
567,21.25,-28.25003202
568,21.75,-28.25003202
569,22.25,-28.25003202
570,22.75,-28.25003202
571,23.25,-28.25003202
572,23.75,-28.25003202
573,24.25,-28.25003202
574,24.75,-28.25003202
577,26.25,-28.25003202
578,26.75,-28.25003202
579,27.25,-28.25003202
581,28.25,-28.25003202
582,28.75,-28.25003202
583,29.25,-28.25003202
584,29.75,-28.25003202
585,30.25,-28.25003202
587,31.25,-28.25003202
588,31.75,-28.25003202
589,32.25,-28.25003202
590,32.75,-28.25003202
607,22.75,-27.75003343
608,23.25,-27.75003343
612,25.25,-27.75003343
613,25.75,-27.75003343
614,26.25,-27.75003343
615,26.75,-27.75003343
616,27.25,-27.75003343
617,27.75,-27.75003343
618,28.25,-27.75003343
619,28.75,-27.75003343
620,29.25,-27.75003343
621,29.75,-27.75003343
622,30.25,-27.75003343
623,30.75,-27.75003343
624,31.25,-27.75003343
625,31.75,-27.75003343
626,32.25,-27.75003343
627,32.75,-27.75003343
640,20.75,-27.25003474
643,22.25,-27.25003474
644,22.75,-27.25003474
645,23.25,-27.25003474
647,24.25,-27.25003474
651,26.25,-27.25003474
652,26.75,-27.25003474
654,27.75,-27.25003474
655,28.25,-27.25003474
656,28.75,-27.25003474
657,29.25,-27.25003474
658,29.75,-27.25003474
659,30.25,-27.25003474
660,30.75,-27.25003474
661,31.25,-27.25003474
662,31.75,-27.25003474
663,32.25,-27.25003474
664,32.75,-27.25003474
677,20.75,-26.75003594
679,21.75,-26.75003594
680,22.25,-26.75003594
685,24.75,-26.75003594
686,25.25,-26.75003594
687,25.75,-26.75003594
689,26.75,-26.75003594
690,27.25,-26.75003594
691,27.75,-26.75003594
692,28.25,-26.75003594
693,28.75,-26.75003594
694,29.25,-26.75003594
695,29.75,-26.75003594
696,30.25,-26.75003594
697,30.75,-26.75003594
700,32.25,-26.75003594
701,32.75,-26.75003594
713,20.25,-26.25003703
714,20.75,-26.25003703
720,23.75,-26.25003703
721,24.25,-26.25003703
725,26.25,-26.25003703
727,27.25,-26.25003703
728,27.75,-26.25003703
729,28.25,-26.25003703
730,28.75,-26.25003703
731,29.25,-26.25003703
732,29.75,-26.25003703
733,30.25,-26.25003703
734,30.75,-26.25003703
735,31.25,-26.25003703
749,19.75,-25.75003803
750,20.25,-25.75003803
751,20.75,-25.75003803
755,22.75,-25.75003803
761,25.75,-25.75003803
762,26.25,-25.75003803
763,26.75,-25.75003803
764,27.25,-25.75003803
765,27.75,-25.75003803
766,28.25,-25.75003803
767,28.75,-25.75003803
768,29.25,-25.75003803
769,29.75,-25.75003803
770,30.25,-25.75003803
771,30.75,-25.75003803
772,31.25,-25.75003803
773,31.75,-25.75003803
788,20.75,-25.25003893
798,25.75,-25.25003893
799,26.25,-25.25003893
800,26.75,-25.25003893
801,27.25,-25.25003893
802,27.75,-25.25003893
803,28.25,-25.25003893
804,28.75,-25.25003893
805,29.25,-25.25003893
806,29.75,-25.25003893
807,30.25,-25.25003893
808,30.75,-25.25003893
809,31.25,-25.25003893
810,31.75,-25.25003893
82,19.25,-34.75000318
823,19.75,-24.75003973
824,20.25,-24.75003973
83,19.75,-34.75000318
836,26.25,-24.75003973
837,26.75,-24.75003973
838,27.25,-24.75003973
839,27.75,-24.75003973
84,20.25,-34.75000318
840,28.25,-24.75003973
841,28.75,-24.75003973
842,29.25,-24.75003973
843,29.75,-24.75003973
844,30.25,-24.75003973
845,30.75,-24.75003973
846,31.25,-24.75003973
847,31.75,-24.75003973
848,32.25,-24.75003973
874,26.75,-24.25004044
875,27.25,-24.25004044
876,27.75,-24.25004044
877,28.25,-24.25004044
878,28.75,-24.25004044
879,29.25,-24.25004044
880,29.75,-24.25004044
881,30.25,-24.25004044
882,30.75,-24.25004044
883,31.25,-24.25004044
884,31.75,-24.25004044
912,27.25,-23.75004106
913,27.75,-23.75004106
914,28.25,-23.75004106
915,28.75,-23.75004106
916,29.25,-23.75004106
917,29.75,-23.75004106
918,30.25,-23.75004106
919,30.75,-23.75004106
920,31.25,-23.75004106
921,31.75,-23.75004106
950,27.75,-23.25004159
951,28.25,-23.25004159
953,29.25,-23.25004159
954,29.75,-23.25004159
955,30.25,-23.25004159
956,30.75,-23.25004159
957,31.25,-23.25004159
958,31.75,-23.25004159
988,28.25,-22.75004203
989,28.75,-22.75004203
990,29.25,-22.75004203
991,29.75,-22.75004203
992,30.25,-22.75004203
993,30.75,-22.75004203
994,31.25,-22.75004203
