grid_id,centroid_lon,centroid_lat,mapsheet,obs_sum,spp_rich
538,25.25,-28.75003051,E025S29BB,3,3
540,26.25,-28.75003051,E026S29BB,8,7
542,27.25,-28.75003051,E027S29BB,42,33
544,28.25,-28.75003051,E028S29BB,16,13
545,28.75,-28.75003051,E028S29BB,204,93
546,29.25,-28.75003051,E029S29BB,98,64
547,29.75,-28.75003051,E029S29BB,57,51
548,30.25,-28.75003051,E030S29BB,243,140
549,30.75,-28.75003051,E030S29BB,9,9
550,31.25,-28.75003051,E031S29BB,184,91
551,31.75,-28.75003051,E031S29BB,1738,500
552,32.25,-28.75003051,E032S29BB,1010,274
558,16.75,-28.25003202,E016S29BB,17,10
559,17.25,-28.25003202,E017S29BB,40,26
565,20.25,-28.25003202,E020S29BB,1,1
566,20.75,-28.25003202,E020S29BB,1,1
567,21.25,-28.25003202,E021S29BB,7,7
568,21.75,-28.25003202,E021S29BB,3,3
569,22.25,-28.25003202,E022S29BB,2,2
570,22.75,-28.25003202,E022S29BB,17,12
571,23.25,-28.25003202,E023S29BB,35,27
572,23.75,-28.25003202,E023S29BB,2,2
573,24.25,-28.25003202,E024S29BB,5,5
574,24.75,-28.25003202,E024S29BB,8,6
577,26.25,-28.25003202,E026S29BB,49,38
578,26.75,-28.25003202,E026S29BB,4,3
579,27.25,-28.25003202,E027S29BB,5,4
581,28.25,-28.25003202,E028S29BB,2,2
582,28.75,-28.25003202,E028S29BB,12,7
583,29.25,-28.25003202,E029S29BB,18,13
584,29.75,-28.25003202,E029S29BB,12,10
585,30.25,-28.25003202,E030S29BB,2,2
587,31.25,-28.25003202,E031S29BB,66,51
588,31.75,-28.25003202,E031S29BB,150,78
589,32.25,-28.25003202,E032S29BB,3530,638
590,32.75,-28.25003202,E032S29BB,189,112
607,22.75,-27.75003343,E022S28BB,38,29
608,23.25,-27.75003343,E023S28BB,1,1
612,25.25,-27.75003343,E025S28BB,1,1
613,25.75,-27.75003343,E025S28BB,12,9
614,26.25,-27.75003343,E026S28BB,1,1
